Buchungsdatum,Betrag,Währung,Buchungstext KURZ (nur grobe Info)
04.01.2016,-515.6,EUR,Lohn
04.01.2016,-26,EUR,GKK
04.01.2016,-150,EUR,Miete
04.01.2016,-4.15,EUR,Domains
08.01.2016,-21,EUR,Heizung
08.01.2016,0,EUR,"*Information gemäß VKrG per 07.01.2016* Sollzinsen: 11,00000 % Verzugszinsen: 6,00000 % Gestionspauschale: EUR 7,87 Ultimoprovision: 0,15000 % Ablebensrisikoprovision: 1,20000 % Eine Änderung der Konditionen kann entsprechend den in den Allgemeinen Geschäftsbedingungen enthaltenen Änderungsklauseln erfolgen."
12.01.2016,-23,EUR,Strom
13.01.2016,-1180.47,EUR,Rechtsanwalt
22.01.2016,12.08,EUR,Strom
01.02.2016,-150,EUR,Miete
01.02.2016,-20,EUR,Internet
02.02.2016,31665,EUR,Förderung
02.02.2016,-4.15,EUR,Domains
03.02.2016,-399,EUR,Lohn
03.02.2016,-5.19,EUR,GKK
04.02.2016,-322,EUR,"Hardware (Tablet, Laptop)"
04.02.2016,-21,EUR,Heizung
10.02.2016,-371.52,EUR,Domains
01.03.2016,-150,EUR,Miete
01.03.2016,-5.19,EUR,GKK
01.03.2016,-399,EUR,Lohn
02.03.2016,-4.15,EUR,Domains
04.03.2016,-21,EUR,Heizung
07.03.2016,-20,EUR,Internet
09.03.2016,-22,EUR,Strom
15.03.2016,-15.48,EUR,Domains
30.03.2016,-5.19,EUR,GKK
30.03.2016,-399,EUR,Lohn
30.03.2016,-1000,EUR,Spende
31.03.2016,0,EUR,*** Abschlussbuchung per 31.03.2016 **** Reklamationen bitte binnen 2 Monaten
31.03.2016,10.78,EUR,Zinsen
31.03.2016,-2.7,EUR,Kapialertragssteuer
31.03.2016,-21.34,EUR,Kontogebühr
31.03.2016,-12.75,EUR,Kreditkarte
01.04.2016,-150,EUR,Miete
01.04.2016,-20,EUR,Internet
04.04.2016,-4.15,EUR,Domains
06.04.2016,-21,EUR,Heizung
11.04.2016,-22,EUR,Strom
18.04.2016,-62.19,EUR,Werbung (zB. Facebook)
18.04.2016,-1000,EUR,Lastenrad und Radanhänger
21.04.2016,-166.77,EUR,"Druck (Druckkosten, Flyer Plakate)"
26.04.2016,0,EUR,Guthaben auf Girokonten und Spareinlagen sind gemäß Einlagensicherungs- und Anlegerentschädigungsgesetz erstattungsfähig. Nähere Informationen dazu entnehmen Sie bitte dem 'Informationsbogen für den Einleger' - abholbereit in jeder Filiale bzw. abrufbar unter: www.erstebank.at/einlagensicherung und www.sparkasse.at/einlagensicherung.
02.05.2016,-150,EUR,Miete
02.05.2016,-20,EUR,Internet
03.05.2016,-5.19,EUR,GKK
03.05.2016,-399,EUR,Lohn
03.05.2016,-137.02,EUR,"Druck (Druckkosten, Flyer Plakate)"
06.05.2016,-4.99,EUR,Domains
06.05.2016,-21,EUR,Heizung
06.05.2016,-155.01,EUR,Lastenrad und Radanhänger
09.05.2016,-96.6,EUR,"Gebühren Abgaben Stadt Graz (Wahlvorschlag, Infostände, Plakatständer)"
09.05.2016,-319.08,EUR,"div Werbematerial (Buttonmaschiene, Armbänder, Zelt, Feuerzeuge)"
10.05.2016,-22,EUR,Strom
18.05.2016,-1310,EUR,Lastenrad und Radanhänger
18.05.2016,-392.44,EUR,"div Werbematerial (Buttonmaschiene, Armbänder, Zelt, Feuerzeuge)"
18.05.2016,-29.99,EUR,Lastenrad und Radanhänger
30.05.2016,-399,EUR,Lohn
30.05.2016,-5.19,EUR,GKK
30.05.2016,-19.98,EUR,Lastenrad und Radanhänger
01.06.2016,-150,EUR,Miete
01.06.2016,-4.99,EUR,Domains
02.06.2016,-20,EUR,Internet
06.06.2016,-27,EUR,Heizung
09.06.2016,-22,EUR,Strom
27.06.2016,-65.45,EUR,"div Werbematerial (Buttonmaschiene, Armbänder, Zelt, Feuerzeuge)"
27.06.2016,-97.73,EUR,Spende
29.06.2016,-35.69,EUR,Lastenrad und Radanhänger
29.06.2016,-798,EUR,Lohn
29.06.2016,-10.37,EUR,GKK
30.06.2016,0,EUR,*** Abschlussbuchung per 30.06.2016 **** Reklamationen bitte binnen 2 Monaten
30.06.2016,4.14,EUR,Zinsen
30.06.2016,-1.04,EUR,Kapialertragssteuer
30.06.2016,-15.3,EUR,Kreditkarte
30.06.2016,-31.27,EUR,Kontogebühr
01.07.2016,-150,EUR,Miete
01.07.2016,-20.47,EUR,Domains
04.07.2016,-20,EUR,Internet
08.07.2016,-22,EUR,Strom
01.08.2016,-150,EUR,Miete
01.08.2016,-20,EUR,Internet
01.08.2016,-5.19,EUR,GKK
01.08.2016,-399,EUR,Lohn
01.08.2016,-219.41,EUR,Werbung (zB. Facebook)
04.08.2016,-6.17,EUR,Heizung
04.08.2016,-22.87,EUR,Domains
05.08.2016,500,EUR,sonstige Förderungen
09.08.2016,-22,EUR,Strom
16.08.2016,-100,EUR,Spende
19.08.2016,-94.54,EUR,"Gebühren Abgaben Stadt Graz (Wahlvorschlag, Infostände, Plakatständer)"
23.08.2016,-51.56,EUR,"Druck (Druckkosten, Flyer Plakate)"
25.08.2016,-35.76,EUR,Domains
30.08.2016,-399,EUR,Lohn
30.08.2016,-5.19,EUR,GKK
01.09.2016,-150,EUR,Miete
01.09.2016,-20,EUR,Internet
01.09.2016,-4.99,EUR,Domains
06.09.2016,-27,EUR,Heizung
08.09.2016,-22,EUR,Strom
13.09.2016,1000,EUR,sonstige Förderungen
15.09.2016,-210.8,EUR,Lastenrad und Radanhänger
26.09.2016,-507.6,EUR,Jacken (Jacken und Druck)
30.09.2016,0,EUR,*** Abschlussbuchung per 30.09.2016 **** Reklamationen bitte binnen 2 Monaten
30.09.2016,2.18,EUR,Zinsen
30.09.2016,-0.55,EUR,Kapialertragssteuer
30.09.2016,-15.3,EUR,Kreditkarte
30.09.2016,-31.47,EUR,Kontogebühr
03.10.2016,-150,EUR,Miete
03.10.2016,-20,EUR,Internet
04.10.2016,-4.99,EUR,Domains
05.10.2016,-5.19,EUR,GKK
05.10.2016,-399,EUR,Lohn
06.10.2016,-27,EUR,Heizung
10.10.2016,-22,EUR,Strom
14.10.2016,-53.64,EUR,Domains
17.10.2016,-252.18,EUR,Rechtsanwalt
19.10.2016,-50,EUR,Spende
28.10.2016,-399,EUR,Lohn
28.10.2016,-5.19,EUR,GKK
28.10.2016,-54.19,EUR,Werbung (zB. Facebook)
31.10.2016,-40,EUR,Internet
02.11.2016,-150,EUR,Miete
03.11.2016,-4.99,EUR,Domains
04.11.2016,-299.67,EUR,"div Werbematerial (Buttonmaschiene, Armbänder, Zelt, Feuerzeuge)"
07.11.2016,-27,EUR,Heizung
07.11.2016,-17.88,EUR,Domains
08.11.2016,-22,EUR,Strom
10.11.2016,-35.76,EUR,Domains
16.11.2016,-100,EUR,Spende
30.11.2016,-4.99,EUR,Domains
01.12.2016,400,EUR,sonstige Förderungen
01.12.2016,-150,EUR,Miete
01.12.2016,-20,EUR,Internet
01.12.2016,-30.96,EUR,Domains
02.12.2016,-798,EUR,Lohn
02.12.2016,-10.37,EUR,GKK
05.12.2016,-27,EUR,Heizung
09.12.2016,-22,EUR,Strom
12.12.2016,-229,EUR,"Hardware (Tablet, Laptop)"
12.12.2016,-264.34,EUR,"Gebühren Abgaben Stadt Graz (Wahlvorschlag, Infostände, Plakatständer)"
12.12.2016,-12.37,EUR,Diverse (Bürobedarf und Kleinteile)
15.12.2016,-92.23,EUR,Server
15.12.2016,-46.44,EUR,Domains
